Year;Month;Zona Venta;Grupo Articulo;Clase Color/Clasif;Espesor.;MT3
2018;January;CENTRO LIMA;PELIKANO;BLANCO;15;17.9
2018;January;CENTRO LIMA;PELIKANO;BLANCO;18;281
2018;January;CENTRO LIMA;PELIKANO;LLANO;18;74
2018;January;CENTRO LIMA;PELIKANO;MADERA;18;189.5
2018;January;CENTRO LIMA;PELIKANO;MADERA;25;6
2018;January;CENTRO LIMA;PELIKANO;NUEVO COLOR;18;103.2
2018;January;CENTRO LIMA;PELIKANO;NUEVO COLOR;6;0.5
2018;January;CENTRO LIMA;PELIKANO;NUEVO COLOR;9;0.2
2018;January;CENTRO LIMA;PELIKANO RH;BLANCO;18;45.3
2018;January;CENTRO LIMA;PELIKANO RH;BLANCO;36;1.9
2018;January;CENTRO LIMA;PELIKANO RH;LLANO;18;5.9
2018;January;CENTRO LIMA;PELIKANO RH;MADERA;18;14.6
2018;January;CENTRO LIMA;PELIKANO RH;MADERA;36;4.4
2018;January;CENTRO LIMA;PELIKANO RH;NUEVO COLOR;18;25.1
2018;January;CENTRO LIMA;PELIKANO RH;NUEVO COLOR;36;17.4
2018;January;CENTRO LIMA;PELIKANO MDF;LLANO;18;2.1
2018;January;CENTRO LIMA;MDP NOVOPAN;CRUDO;15;35.9
2018;January;CENTRO LIMA;MDP NOVOPAN;CRUDO;25;36.2
2018;January;CENTRO PROVINCIA;PELIKANO;BLANCO;15;3
2018;January;CENTRO PROVINCIA;PELIKANO;BLANCO;18;51.4
2018;January;CENTRO PROVINCIA;PELIKANO;LLANO;18;36.3
2018;January;CENTRO PROVINCIA;PELIKANO;MADERA;18;133
2018;January;CENTRO PROVINCIA;PELIKANO;NUEVO COLOR;15;3
2018;January;CENTRO PROVINCIA;PELIKANO;NUEVO COLOR;18;44.5
2018;January;CENTRO PROVINCIA;PELIKANO RH;BLANCO;18;6
2018;January;CENTRO PROVINCIA;MDP NOVOPAN;CRUDO;15;97.3
2018;January;GRAN INDUSTRIA;PELIKANO;BLANCO;18;3
2018;January;GRAN INDUSTRIA;PELIKANO;BLANCO;25;0.3
2018;January;GRAN INDUSTRIA;PELIKANO;MADERA;18;9.1
2018;January;GRAN INDUSTRIA;PELIKANO RH;BLANCO;18;9.1
